Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.base.json	54794	-	0	0	0	0	0	0	3	47	0	0	0	0	0	0	0	1	0	0	135	195	0	0	0	6	0	0
fsh-generated/resources/Appointment-appointment-general-practitioner.json	2285	5	0	0	1	0	0	0	0	7148	0	0	0	0	0	0	0	0	0	0	16	20	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fi-base-release-for-patient-viewing-cs.json	1167	4	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	12	2427	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fi-base-security-label-cs.json	644	5	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	10	93	0	0	0	0	0	1
fsh-generated/resources/Condition-id-for-diagnosis-1.json	1915	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-2.json	2602	5	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/Condition-id-for-diagnosis-3.json	2205	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter-2.json	738	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-child-encounter.json	898	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-id-for-palvelutapahtuma.json	706	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
