Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.scheduling.json	10305	-	0	0	0	0	0	0	2	36	0	0	0	0	0	0	0	1	0	0	94	46	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-ajanvarauksentila-appointmentstatus.json	4709	4	1	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	23	192	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-appointmentstatus-ajanvarauksentila.json	4427	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/Patient-example-patient.json	1314	4	0	0	0	0	0	0	0	814	0	0	0	0	0	0	0	0	0	0	10	144	0	0	0	0	0	0
fsh-generated/resources/Slot-example-slot.json	1044	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-additional-information-url.json	1357	2	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	30	737	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-care-guarantee-details.json	1410	2	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	28	126	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-careplan-identifier.json	1423	19	0	0	0	0	0	54	0	5	0	0	0	0	0	0	0	0	0	0	48	172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-customer-journey.json	2557	2	0	0	0	0	0	18	0	23	0	0	0	0	0	0	0	0	0	0	60	140	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fi-scheduling-appointment.json	11983	3	0	0	0	0	0	104	0	24	0	0	0	0	0	0	0	1	0	0	346	618	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-fi-scheduling-healthcare-service.json	1060	2	0	0	0	0	0	25	0	19	0	0	0	0	0	0	0	1	0	0	143	286	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fi-scheduling-location.json	1195	2	1	0	0	0	0	26	0	11	0	0	0	0	0	0	0	0	0	0	125	258	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-fi-scheduling-schedule.json	627	2	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	46	167	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fi-scheduling-slot.json	597	2	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	48	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-mutable.json	3161	2	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	75	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-notification-info.json	1333	2	0	0	0	0	0	3	0	47	0	0	0	0	0	0	0	1	0	0	27	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-notification-medium.json	1575	2	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	41	70	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-parent-appointment.json	1377	2	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-patient-instruction-url.json	1310	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	28	54	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-prectitioner-gender.json	1508	2	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	39	81	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-queue-number.json	1285	2	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-referral-id.json	1277	7	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	26	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-requested-service-info.json	2694	2	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	60	80	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-resource-calendar.json	2583	2	1	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	58	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-self-service-info.json	4160	2	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	91	113	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-service-additional-information.json	1469	1	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	36	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ticket-number.json	1289	2	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	28	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-topic-id.json	1231	2	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	27	60	0	0	0	0	0	0
input/examples/appointment.json	2993	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
