Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.scheduling.json	15096	-	0	0	0	0	0	0	2	530	0	0	0	0	0	0	0	1	0	0	95	37	0	0	0	3	0	0
fsh-generated/resources/Appointment-appointment-status-extension-01.json	647	7	1	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-02.json	765	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-03.json	848	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-04.json	1086	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-05.json	843	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	1
fsh-generated/resources/Appointment-appointment-status-extension-06.json	839	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-07.json	840	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-08.json	851	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-09.json	842	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-10.json	845	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0
fsh-generated/resources/Appointment-example-appointment-4.json	5378	6	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ajanvarauksentila-appointmentstatus.json	4222	6	1	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	20	177	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-appointmentstatus-ajanvarauksentila.json	4249	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	1	0	0
fsh-generated/resources/HealthcareService-example-service-2.json	524	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0
fsh-generated/resources/Organization-example-org-unit.json	540	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-pentti.json	1356	6	0	0	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-petri.json	456	5	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-keijo.json	328	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
fsh-generated/resources/Schedule-234567890.json	137	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0
fsh-generated/resources/Slot-123456789.json	1041	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-additional-information-url.json	1357	6	0	0	1	0	0	9	0	34	0	0	0	0	0	0	0	0	0	0	38	671	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ajanvarauksen-tila.json	1922	5	1	0	0	0	0	11	0	7	0	0	0	0	0	0	0	0	0	0	41	137	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-care-guarantee-details.json	1392	6	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	24	229	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-careplan-identifier.json	1303	6	1	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	26	147	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-child-appointment.json	1359	6	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	0	26	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-customer-journey.json	2557	6	0	0	0	0	0	10	0	44	0	0	0	0	0	0	0	0	0	0	114	88	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fi-scheduling-appointment.json	13977	6	1	0	0	0	0	70	0	31	0	0	1	0	0	0	0	1	0	0	367	563	0	1	0	8	0	2
