Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.scheduling.json	15092	-	0	0	1	0	0	0	3	1310	0	0	0	0	0	0	0	0	0	0	58	48	0	0	0	2	0	0
fsh-generated/resources/Appointment-appointment-status-extension-01.json	647	3	0	0	1	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-02.json	765	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-03.json	848	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-04.json	1086	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-05.json	843	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-06.json	839	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-07.json	840	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-08.json	851	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-09.json	842	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-10.json	845	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Appointment-example-appointment-4.json	5378	3	0	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	24	17	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ajanvarauksentila-appointmentstatus.json	4222	3	0	0	0	0	0	0	1	765	0	0	0	0	0	0	0	0	0	0	16	227	0	2	0	0	0	0
fsh-generated/resources/ConceptMap-appointmentstatus-ajanvarauksentila.json	4249	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	1	0	0
fsh-generated/resources/HealthcareService-example-service-2.json	524	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Organization-example-org-unit.json	540	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-pentti.json	1356	3	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-petri.json	456	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-keijo.json	328	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Schedule-234567890.json	137	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/Slot-123456789.json	1041	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-additional-information-url.json	1357	3	0	5	0	0	2	1	0	22	0	0	1	0	0	0	0	0	0	0	33	74	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ajanvarauksen-tila.json	1922	2	0	16	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	44	107	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-care-guarantee-details.json	1392	3	0	16	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-careplan-identifier.json	1303	2	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-child-appointment.json	1359	3	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	48	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-customer-journey.json	2557	2	0	16	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	62	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fi-scheduling-appointment.json	13977	4	0	116	1	0	0	0	1	28	0	0	1	0	0	0	0	1	0	0	385	277	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-fi-scheduling-healthcare-service.json	1806	2	0	33	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	160	143	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-mutable.json	3161	3	0	15	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	75	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-notification-info.json	1333	3	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	36	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-notification-medium.json	1575	2	0	12	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	44	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-patient-instruction-url.json	1310	3	0	13	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	36	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-practitioner-gender.json	1508	2	0	13	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	40	42	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-queue-number.json	1267	3	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	67	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-referral-id.json	1259	2	0	13	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	27	35	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-requested-service-info.json	2694	3	0	14	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	59	60	0	0	0	1	1	0
