Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fi.scheduling.json	15092	-	0	0	0	0	0	0	4	59	0	0	0	0	0	0	0	1	0	0	58	45	0	0	0	2	0	1
fsh-generated/resources/Appointment-appointment-status-extension-01.json	647	3	0	0	1	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-02.json	765	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-03.json	848	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-04.json	1086	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-05.json	843	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-06.json	839	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-07.json	840	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-08.json	851	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-09.json	842	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Appointment-appointment-status-extension-10.json	845	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
fsh-generated/resources/Appointment-example-appointment-4.json	5378	3	0	0	1	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-ajanvarauksentila-appointmentstatus.json	4222	3	0	0	1	0	0	0	0	1139	0	0	0	0	0	0	0	0	0	0	16	229	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-appointmentstatus-ajanvarauksentila.json	4249	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	1	0	0
fsh-generated/resources/HealthcareService-example-service-2.json	524	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Organization-example-org-unit.json	540	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-pentti.json	1356	2	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-petri.json	456	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-keijo.json	328	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/Schedule-234567890.json	137	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
fsh-generated/resources/Slot-123456789.json	1041	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-additional-information-url.json	1357	3	0	5	1	0	1	0	0	26	0	0	1	0	0	0	0	0	0	0	35	74	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ajanvarauksen-tila.json	1922	3	0	26	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	44	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-care-guarantee-details.json	1392	2	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	29	47	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-careplan-identifier.json	1303	3	0	14	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	45	0	0	0	1	0	0
