FinnishScheduling
=========================================

/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/Appointment-example-appointment-4.json: line 56, col 10, Info - This element does not match any known slice defined in the profile https://hl7.fi/fhir/finnish-base-profiles/StructureDefinition/fi-base-patient|1.0.0 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/Appointment-example-appointment-4.json: line 63, col 10, Warning - Constraint failed: ipa-pat-3: 'To be usable for a wide range of internationally available applications, the Patient.name.text SHOULD be present.' (defined in http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-patient) (Best Practice Recommendation) (INVARIANT)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/Appointment-example-appointment-4.json: line 71, col 10, Warning - Constraint failed: ipa-pat-3: 'To be usable for a wide range of internationally available applications, the Patient.name.text SHOULD be present.' (defined in http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-patient) (Best Practice Recommendation) (INVARIANT)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/Patient-patient-petri.json: line 17, col 6, Warning - Constraint failed: ipa-pat-3: 'To be usable for a wide range of internationally available applications, the Patient.name.text SHOULD be present.' (defined in http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-patient) (Best Practice Recommendation) (INVARIANT)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-additional-information-url.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-care-guarantee-details.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-careplan-identifier.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-child-appointment.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-customer-journey.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-fi-scheduling-appointment.json: line 1, col 110132, Info - The extension http://hl7.org/fhir/StructureDefinition/elementdefinition-maxValueSet|5.2.0 is deprecated (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-fi-scheduling-appointment.json: line 1, col 260319, Info - The extension http://hl7.org/fhir/StructureDefinition/regex|5.2.0 is deprecated with the note This was deprecated in favor of using a constraint on the element using FHIRPath, since constraints allow for the provision of a human readable message associated with the regex (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-notification-medium.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-patient-instruction-url.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-practitioner-gender.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-queue-number.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-referral-id.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-requested-service-info.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-resource-calendar.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-self-service-info.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
/Users/mikael/GitHub/fhir-fi-webroot/temp/ig-builds/hl7.fhir.fi.scheduling#2.0.0-rc2-milestone/fsh-generated/resources/StructureDefinition-service-additional-information.json: line 0, col 0, Warning - The Implementation Guide contains no examples for this extension (BUSINESSRULE)
